word	type	count	position	team
brought	word	12068	N/A	N/A
cost	word	12027	N/A	N/A
fit	word	12002	N/A	N/A
track	word	11964	N/A	N/A
award	word	11893	N/A	N/A
bench	word	11885	N/A	N/A
try	word	11884	N/A	N/A
slider	word	11874	N/A	N/A
straight	word	11870	N/A	N/A
shot	word	11868	N/A	N/A
trading	word	11863	N/A	N/A
brandon	word	11834	N/A	N/A
martin	word	11829	N/A	N/A
luis	word	11829	N/A	N/A
runners	word	11823	N/A	N/A
weekend	word	11795	N/A	N/A
continued	word	11769	N/A	N/A
entire	word	11672	N/A	N/A
highest	word	11630	N/A	N/A
scoreless	word	11612	N/A	N/A
jon	word	11588	N/A	N/A
matter	word	11563	N/A	N/A
judge-001aar	player	11561	OF	NYY
seemed	word	11538	N/A	N/A
fan	word	11528	N/A	N/A
strain	word	11527	N/A	N/A
tonight	word	11517	N/A	N/A
real	word	11504	N/A	N/A
paul	word	11444	N/A	N/A
outing	word	11435	N/A	N/A
zone	word	11426	N/A	N/A
huge	word	11406	N/A	N/A
previous	word	11384	N/A	N/A
willing	word	11353	N/A	N/A
longer	word	11338	N/A	N/A
tied	word	11312	N/A	N/A
moved	word	11308	N/A	N/A
obviously	word	11290	N/A	N/A
struggles	word	11273	N/A	N/A
harper002bry	player	11272	OF	PHI
within	word	11255	N/A	N/A
themselves	word	11196	N/A	N/A
elite	word	11179	N/A	N/A
gm	word	11174	N/A	N/A
mean	word	11155	N/A	N/A
central	word	11133	N/A	N/A
names	word	11130	N/A	N/A
worked	word	11120	N/A	N/A
camp	word	11113	N/A	N/A
kyle	word	11095	N/A	N/A
terms	word	11075	N/A	N/A
happen	word	11030	N/A	N/A
road	word	11022	N/A	N/A
shown	word	11009	N/A	N/A
moment	word	10981	N/A	N/A
clubs	word	10980	N/A	N/A
remain	word	10940	N/A	N/A
stuff	word	10937	N/A	N/A
quickly	word	10923	N/A	N/A
summer	word	10890	N/A	N/A
nice	word	10890	N/A	N/A
simply	word	10872	N/A	N/A
east	word	10846	N/A	N/A
reach	word	10814	N/A	N/A
davis	word	10789	N/A	N/A
fly	word	10765	N/A	N/A
c	word	10754	N/A	N/A
aaron	word	10722	N/A	N/A
betts-000mar	player	10721	OF	LAD
known	word	10679	N/A	N/A
fill	word	10674	N/A	N/A
exactly	word	10671	N/A	N/A
near	word	10658	N/A	N/A
deals	word	10652	N/A	N/A
cy	word	10650	N/A	N/A
watch	word	10635	N/A	N/A
sale--001chr	player	10628	SP	BOS
deep	word	10607	N/A	N/A
true	word	10593	N/A	N/A
lack	word	10568	N/A	N/A
waivers	word	10550	N/A	N/A
jordan	word	10510	N/A	N/A
unfortunately	word	10504	N/A	N/A
figure	word	10490	N/A	N/A
found	word	10477	N/A	N/A
justin	word	10471	N/A	N/A
appearance	word	10437	N/A	N/A
hold	word	10399	N/A	N/A
improve	word	10386	N/A	N/A
goes	word	10376	N/A	N/A
williams	word	10373	N/A	N/A
others	word	10366	N/A	N/A
posting	word	10364	N/A	N/A
scott	word	10356	N/A	N/A
head	word	10332	N/A	N/A
afternoon	word	10288	N/A	N/A
victory	word	10278	N/A	N/A
approach	word	10274	N/A	N/A
showed	word	10263	N/A	N/A
provide	word	10205	N/A	N/A
thought	word	10173	N/A	N/A
austin	word	10152	N/A	N/A
appeared	word	10140	N/A	N/A
showing	word	10139	N/A	N/A
degrom001jac	player	10111	SP	NYM
room	word	10102	N/A	N/A
turner	word	10100	N/A	N/A
batted	word	10091	N/A	N/A
plan	word	10089	N/A	N/A
adam	word	10086	N/A	N/A
gonzalez	word	10077	N/A	N/A
projected	word	10073	N/A	N/A
notes	word	10067	N/A	N/A
elbow	word	10062	N/A	N/A
miller	word	10055	N/A	N/A
save	word	10036	N/A	N/A
trades	word	10015	N/A	N/A
problem	word	9991	N/A	N/A
form	word	9990	N/A	N/A
followed	word	9988	N/A	N/A
people	word	9978	N/A	N/A
small	word	9974	N/A	N/A
cut	word	9958	N/A	N/A
considering	word	9946	N/A	N/A
thus	word	9935	N/A	N/A
putting	word	9926	N/A	N/A
stolen	word	9899	N/A	N/A
taylor	word	9892	N/A	N/A
bellin000cod	player	9879	OF	LAD
finish	word	9865	N/A	N/A
consider	word	9861	N/A	N/A
faced	word	9849	N/A	N/A
received	word	9847	N/A	N/A
haven	word	9837	N/A	N/A
